,area_type,availability,location,society,bath,balcony,price,Sqft_range_starts,Sqft_range_ends,Size,Flat_layout
0,3,19-Dec,Electronic City Phase II,Coomee ,2.0,1.0,39.07,1056.0,1056.0,2,0
1,2,Ready To Move,Chikka Tirupathi,Theanmp,5.0,3.0,120.0,2600.0,2600.0,4,1
2,0,Ready To Move,Uttarahalli,Theanmp,2.0,3.0,62.0,1440.0,1440.0,3,0
3,3,Ready To Move,Lingadheeranahalli,Soiewre,3.0,1.0,95.0,1521.0,1521.0,3,0
4,3,Ready To Move,Kothanur,Soiewre,2.0,1.0,51.0,1200.0,1200.0,2,0
5,3,Ready To Move,Whitefield,DuenaTa,2.0,1.0,38.0,1170.0,1170.0,2,0
6,3,18-May,Old Airport Road,Jaades ,4.0,1.0,204.0,2732.0,2732.0,4,0
7,3,Ready To Move,Rajaji Nagar,Brway G,4.0,1.0,600.0,3300.0,3300.0,4,0
8,3,Ready To Move,Marathahalli,Brway G,3.0,1.0,63.25,1310.0,1310.0,3,0
9,2,Ready To Move,Gandhi Bazar,Brway G,6.0,1.0,370.0,1020.0,1020.0,6,1
10,3,18-Feb,Whitefield,Brway G,2.0,2.0,70.0,1800.0,1800.0,3,0
11,2,Ready To Move,Whitefield,Prrry M,5.0,3.0,295.0,2785.0,2785.0,4,1
12,3,Ready To Move,7th Phase JP Nagar,Shncyes,2.0,1.0,38.0,1000.0,1000.0,2,0
13,0,Ready To Move,Gottigere,Shncyes,2.0,2.0,40.0,1100.0,1100.0,2,0
14,2,Ready To Move,Sarjapur,Skityer,3.0,2.0,148.0,2250.0,2250.0,3,1
15,3,Ready To Move,Mysore Road,PrntaEn,2.0,2.0,73.5,1175.0,1175.0,2,0
16,3,Ready To Move,Bisuvanahalli,Prityel,3.0,2.0,48.0,1180.0,1180.0,3,0
17,3,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,3.0,3.0,60.0,1540.0,1540.0,3,0
18,3,Ready To Move,Ramakrishnappa Layout,PeBayle,4.0,2.0,290.0,2770.0,2770.0,3,0
19,3,Ready To Move,Manayata Tech Park,PeBayle,2.0,2.0,48.0,1100.0,1100.0,2,0
20,0,Ready To Move,Kengeri,PeBayle,1.0,1.0,15.0,600.0,600.0,1,0
21,3,19-Dec,Binny Pete,She 2rk,3.0,1.0,122.0,1755.0,1755.0,3,0
22,2,Ready To Move,Thanisandra,Soitya ,5.0,2.0,380.0,2800.0,2800.0,4,1
23,3,Ready To Move,Bellandur,Soitya ,3.0,1.0,103.0,1767.0,1767.0,3,0
24,3,18-Nov, Thanisandra,Bhe 2ko,1.0,0.0,25.25,510.0,510.0,1,2
25,3,18-May,Mangammanapalya,Bhe 2ko,3.0,2.0,56.0,1250.0,1250.0,3,0
26,3,Ready To Move,Electronic City,Itelaa ,1.0,1.0,23.1,660.0,660.0,2,0
27,0,20-Dec,Whitefield,Itelaa ,3.0,2.0,81.0,1610.0,1610.0,3,0
28,3,17-Oct,Ramagondanahalli,ViistLa,2.0,2.0,48.77,1151.0,1151.0,2,0
29,3,Ready To Move,Electronic City,KBityo ,2.0,1.0,47.0,1025.0,1025.0,3,0
30,3,19-Dec,Yelahanka,LedorSa,4.0,0.0,186.0,2100.0,2850.0,4,0
31,3,Ready To Move,Bisuvanahalli,Prityel,2.0,1.0,35.0,1075.0,1075.0,3,0
32,3,Ready To Move,Hebbal,Mahosya,2.0,2.0,123.0,1760.0,1760.0,3,0
33,3,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,3.0,3.0,57.39,1693.0,1693.0,3,0
34,0,Ready To Move,Kasturi Nagar,Kantsce,3.0,3.0,125.0,1925.0,1925.0,3,0
35,3,21-Dec,Kanakpura Road,PrarePa,2.0,1.0,36.0,700.0,700.0,2,0
36,3,Ready To Move,Electronics City Phase 1,PrarePa,2.0,1.0,45.5,1070.0,1070.0,2,0
37,3,Ready To Move,Kundalahalli,Dieldli,3.0,2.0,125.0,1724.0,1724.0,3,0
38,3,Ready To Move,Chikkalasandra,Dieldli,2.0,2.0,56.12,1290.0,1290.0,3,0
39,0,Ready To Move,Uttarahalli,Dieldli,2.0,2.0,45.0,1143.0,1143.0,2,0
40,0,Ready To Move,Murugeshpalya,Gentson,2.0,2.0,81.0,1296.0,1296.0,2,0
41,3,19-Dec,Sarjapur  Road,Soini T,3.0,2.0,38.0,1254.0,1254.0,3,0
42,3,Ready To Move,Ganga Nagar,Ceove G,1.0,0.0,38.0,600.0,600.0,1,0
43,2,Ready To Move,Yelahanka,Ceove G,1.0,0.0,48.0,660.0,660.0,1,1
44,3,19-Sep,Kanakpura Road,Soazak ,2.0,2.0,91.79,1330.74,1330.74,2,0
45,2,Ready To Move,HSR Layout,Soazak ,9.0,2.0,200.0,600.0,600.0,8,1
46,3,Ready To Move,Doddathoguru,LancyRe,2.0,0.0,33.0,970.0,970.0,2,0
47,3,20-Sep,Whitefield,Goted U,2.0,1.0,94.82,1459.0,1459.0,2,0
48,2,Ready To Move,KR Puram,Goted U,1.0,1.0,130.0,800.0,800.0,2,1
49,0,Ready To Move,Himagiri Meadows,Goted U,2.0,1.0,36.0,869.0,869.0,2,0
50,3,Ready To Move,Adarsh Nagar,Bhncyis,2.0,1.0,50.0,1270.0,1270.0,2,0
51,3,18-Mar,Bhoganhalli,Rosha I,3.0,1.0,99.0,1670.0,1670.0,3,0
52,0,Ready To Move,Whitefield,Suent V,3.0,2.0,91.0,2010.0,2010.0,3,0
53,3,Ready To Move,Lakshminarayana Pura,RothaVa,2.0,2.0,75.0,1185.0,1185.0,2,0
54,3,Ready To Move,Yelahanka,NCowsar,2.0,3.0,75.0,1600.0,1600.0,3,0
55,3,Ready To Move,Begur Road,Dhalsh ,2.0,2.0,44.0,1200.0,1200.0,2,0
56,0,20-Feb,Devanahalli,BrereAt,2.0,2.0,192.0,3010.0,3410.0,4,1
57,3,Ready To Move,Ramakrishnappa Layout,PeBayle,2.0,2.0,185.0,1500.0,1500.0,2,0
58,2,Ready To Move,Murugeshpalya,PeBayle,4.0,1.0,150.0,1407.0,1407.0,6,1
59,3,Ready To Move,Govindaraja Nagar Ward,PeBayle,2.0,2.0,45.0,840.0,840.0,2,0
60,2,Ready To Move,Tharabanahalli,PeBayle,3.0,2.0,240.0,4395.0,4395.0,3,1
61,3,Ready To Move,Ganga Nagar,Laavevi,2.0,1.0,55.0,845.0,845.0,2,0
62,2,Ready To Move,Whitefield,Chranya,5.0,3.0,650.0,5700.0,5700.0,4,1
63,0,Ready To Move,Varthur,HioraTr,2.0,2.0,44.0,1160.0,1160.0,2,0
64,0,Ready To Move,Bommanahalli,HioraTr,8.0,0.0,140.0,3000.0,3000.0,8,1
65,3,Ready To Move,Doddathoguru,HioraTr,2.0,1.0,62.0,1100.0,1100.0,2,0
66,3,18-Apr,Gunjur,BMineis,2.0,3.0,43.0,1140.0,1140.0,2,0
67,3,Ready To Move,Marathahalli,BMineis,2.0,1.0,57.0,1220.0,1220.0,2,0
68,2,Ready To Move,Devarachikkanahalli,BMineis,7.0,0.0,85.0,1350.0,1350.0,8,1
69,3,Ready To Move,Kanakpura Road,BMineis,2.0,1.0,36.68,1005.0,1005.0,2,0
70,2,Ready To Move,Double Road,BMineis,3.0,2.0,100.0,500.0,500.0,3,1
71,3,20-Aug,Begur Road,Pruthg ,2.0,1.0,80.58,1358.0,1358.0,2,0
72,3,Ready To Move,Hegde Nagar,Sonosty,3.0,1.0,101.0,1569.0,1569.0,3,0
